gid,count,name,type,created_by_name,created_by_email,is_global_to_workspace,enum_option_names
1201932152955158,1,Project Type,enum,Terri Burden,terri@896974409.asanatest1.us,True,"['Demo', 'Video', 'Fixture', 'Graphic', 'Photography']"
1201932076486143,1,Existing Design File,enum,Terri Burden,terri@896974409.asanatest1.us,True,"['Yes', 'No']"
1201932153533606,7,Department requesting,enum,Terri Burden,terri@896974409.asanatest1.us,True,"['Marketing', 'Design', 'Sales', 'Engineering', 'Training', 'Customer Success ', 'UXR', 'Product', 'HR', 'Product Marketing']"
1201932157120440,1,Deliverables,enum,Terri Burden,terri@896974409.asanatest1.us,True,"['Graphics', 'Emails deliverables ', 'Follow-up email', 'Press release ', 'Ad placement ']"
1201932035339092,1,Status:,enum,Terri Burden,terri@896974409.asanatest1.us,True,"['Templates/Reference', 'New Requests', 'Project Creation', 'Review Process', 'Approvals', 'Agency', 'Completed ']"
1201932076556910,1,Next steps,enum,Terri Burden,terri@896974409.asanatest1.us,False,"['Reference ', 'TEMPLATE', 'Complete subtasks', 'Prep for call', 'Schedule first meeting', 'All set']"
1201932035047524,1,POC,text,Terri Burden,terri@896974409.asanatest1.us,False,
1201932078947119,1,Lead Contact Number,text,Terri Burden,terri@896974409.asanatest1.us,False,
1201932154611920,1,Lead Source,enum,Terri Burden,terri@896974409.asanatest1.us,False,"['Sales', 'Online form', 'Email', 'Social Media', 'Referral ']"
1201932034030306,1,Lead Type,enum,Terri Burden,terri@896974409.asanatest1.us,False,"['Cold lead', 'Warm lead', 'Hot lead']"
1201932078096324,1,Email address,text,Terri Burden,terri@896974409.asanatest1.us,False,
1201932155031759,1,Potential Opportunity,number,Terri Burden,terri@896974409.asanatest1.us,False,
1201932077935291,1,Sales status,enum,Terri Burden,terri@896974409.asanatest1.us,False,"['Open ', 'Closed- loss', 'Closed-won', 'Revisit ']"
1201932153964213,1,Status?,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Not Started', 'Complete', 'At risk.', 'On Track', 'At Risk']"
1201932075799125,2,Web Production status,enum,Michelle Weeks,michelle@896974409.asanatest1.us,True,"['Not Started', 'Scheduled', 'Review', 'Blocked', 'Being Worked', 'In Design', 'Design Complete', 'Coding Complete', 'Coding QA', 'Approval Needed', 'Ready to Deploy', 'Deployed']"
1201932171074896,3,Estimated Points,number,Nicola Wong,nicola@896974409.asanatest1.us,True,
1201932172591957,3,Dev Type,enum,Nicola Wong,nicola@896974409.asanatest1.us,True,"['New Feature', 'Optimization', 'Infrastructure', 'Bug']"
1201932078379005,1,Status,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Need more info', 'Nice to have']"
1201932075826261,1,Type,enum,Carly Coats,carly-template@896974409.asanatest1.us,False,"['Update existing webpage', 'New webpage', 'Bug', 'Update content']"
1201932154058432,4,Requesting Team,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Sales', 'Marketing', 'UXR', 'Customer Success', 'Product', 'Engineering', 'Exec/Leadership', 'HR', 'Ops/IT', 'Product Marketing', 'Design']"
1201932033610909,1,Triaged to team,enum,Carly Coats,carly-template@896974409.asanatest1.us,True,"['Design', 'Content', 'Design + Engineering', 'Engineering', 'Legal', 'Business', 'Cross-Team (Large task)']"
1201932153790276,1,Responsible Party,enum,Spurti,spurti@896974409.asanatest1.us,False,"['Paralegal', 'Sr.Associate', 'Managing Director']"
1201932155444111,1,Status of blog post,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Write', 'Review ', 'Optional Review']"
1201932034783084,1,Ready to write/edit,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Yes - write/edit me', 'Soon - 1-2 days away', 'Not Yet']"
1201932152953013,1,Estimated time to full launch,enum,Spurti,spurti@896974409.asanatest1.us,True,"['No estimate', 'Months away', 'Weeks away', 'Days away', 'Date finalized']"
1201932153891352,4,Languages Supported,multi_enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['English', 'Spanish', 'French', 'Portuguese', 'Japanese', 'German']"
1201932076297449,1,Regions Supported,multi_enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['NAMER', 'EMEA', 'APAC', 'JP', 'LATAM']"
1201932033554498,1,Content Stage (QGEC),enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['New', 'On hold', 'In progress', 'Needs Approval', 'Approved', 'Completed']"
1201932079654757,1,Content Type (QGEC),enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Copy', 'Audio', 'Photo', 'Video', 'Illustration']"
1201932157078477,6,Content Channel,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Blog', 'Website', 'Social', 'Email', 'App', 'Print', 'Promotional', 'Sales/Channel Partner', 'Documentation', 'Ad', 'Product']"
1201932075765468,1,URL,text,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932153337005,1,1d7 Users,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932171077096,1,Action Name,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,['ClickUpgradePrompt']
1201932076753822,1,Action Date,text,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932077371014,1,Name,text,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932153684901,1,First Name,text,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932075983556,1,Last Name,text,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932033198155,1,Visited D7,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932154703666,1,Domain ID,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932032573081,2,Creation stage,enum,,,True,"['Not started', 'Outlining', 'In progress', 'Reviewing', 'Complete']"
1201932035436449,8,Approved?,enum,,,True,"['Yes', 'No']"
1201932153722976,2,Meeting Needed,enum,,,True,"['Yes', 'No']"
1201932153742266,10,Approval stage,enum,,,True,"['Ready for Review', 'Changes Needed', 'Approved', 'Rejected ']"
1201932155224329,5,X-Function,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Marketing', 'Sales', 'Customer Success', 'Public Relations', 'Recruiting', 'Corporate Marketing', 'Brand Marketing', 'Investor Relations', 'ALL']"
1201932077916884,5,Event Type,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Industry Conference: Booth', 'Industry Conference: Speaker/Panel', 'Sales Event', 'Recruiting Event', 'Customer Event', 'Customer Dinner', 'Workshop ', 'All/Branding/Customer Relationships']"
1201932077750237,7,Cost,number,,,True,
1201932033079636,4,Region of Request,enum,Spurti,spurti@896974409.asanatest1.us,True,"['NA', 'EMEA', 'APAC', 'ANZ', 'Global (ALL)', 'Web']"
1201932154267909,16,Design Support,enum,Michelle Weeks,michelle@896974409.asanatest1.us,True,"['Graphic', 'UI/UX', 'Print', 'Video', 'Copy', 'Slides']"
1201932034424342,3,Legal Review Status,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Not Needed', 'Needed after content', 'Requested', 'In Progress', 'Completed']"
1201932078500224,3,Region,enum,Michelle Weeks,michelle@896974409.asanatest1.us,True,"['USA', 'UK', 'DACH', 'Benelux', 'ALL']"
1201932154233025,5,Status of Work,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['In Progress', 'Not Started', 'Blocked', 'Ready to Start', 'Waiting for Review', 'Ready for Approval']"
1201932075664224,1,Approval Status,enum,Justin Dean,justin@896974409.asanatest1.us,False,"['Approved', 'Approved with Edits', 'Returned with Comments', 'Approved - Final']"
1201932156345052,2,Content stage,enum,,,True,"['Not drafted', 'In draft', 'In review', 'Ready to publish', 'Published!']"
1201932076056625,1,Content type,enum,,,True,"['Product news', 'Company update', 'Thought leadership', 'Customer story', 'Sponsored post']"
1201932034075317,2,Referral,enum,,,True,"['Yes', 'No']"
1201932078112550,2,Department,text,,,True,
1201932032830456,14,Task Progress,enum,,,True,"['Not Started', 'In Progress', 'Waiting', 'Deferred', 'Done']"
1201932156865091,2,Product stage,enum,,,True,"['Spec needed', 'Design ready', 'Eng ready', 'QA ready', 'Marketing ready']"
1201932155065496,2,Project size,enum,,,True,"['Small', 'Medium', 'Large', 'XLarge']"
1201932156854715,1,Added by,enum,,,True,"['Manager', 'Report']"
1201932153008723,1,Extra Support Needed,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Engineering', 'Design Support', 'Infrastructure', 'Early Feature Access', 'Admin']"
1201932077517020,1,Status,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Approved', 'Assessing Information', 'In Production', 'Review', 'Completed', 'On Hold', 'Deferred']"
1201932035453368,6,Estimated value,number,,,True,
1201932076887305,4,Sales Region,enum,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,"['North America - West', 'North America - East', 'EMEA', 'APAC', 'Japan', 'ANZ', 'Global']"
1201932075927349,2,Sales Lead status,enum,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,"['Contacted', 'Qualification', 'Meeting', 'Proposal', 'Closed Won', 'Closed Lost']"
1201932035655077,1,Legal Request,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Visual', 'Contract', 'Copy', 'Partnership']"
1201932154331059,1,Priority,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['High', 'Medium', 'Low']"
1201932155835021,1,Requesting Team,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['Sales', 'Marketing', 'HR', 'Product Marketing', 'Finance', 'Legal', 'Product', 'Engineering', 'Customer Success', 'Leadership']"
1201932153730431,1,Estimated Effort,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932153888230,1,Ops Request Type,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,True,"['Facilities Request', 'Business Operations Request', 'New Software Vendor Selection', 'New Vendor Selection']"
1201932154320463,1,Facilities sub-request,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,True,"['Building Security Access', 'Shipping and Receiving', 'Food Services', 'Other']"
1201932153535685,1,Vendor subrequest,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,True,"['Software Vendor - SaaS', 'Software Vendor - Not SaaS', 'Marketing Vendor', 'Event Vendor - Catering', 'Event Vendor - Signage', 'Facilities Vendor']"
1201932155091372,1,Business Operations Subrequest,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,True,"['Process Optimization', 'Data Science', 'Annual Planning Kickoff']"
1201932034633227,1,Requestor Name,text,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932078824559,2,Requester Email,text,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932032558129,4,Total Budget,number,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932153279325,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932078072446,9,Usage,number,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932154286311,10,NPS,number,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932079882748,1,Office Location,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['San Francisco', 'New York City', 'Denver', 'London', 'Paris', 'Sydney', 'Tokyo']"
1201932078939837,1,Urgency,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['P0 (Biz stopped)', 'P1 (within the day)', 'P2 (within the week)', 'P3 (within the month)', 'P4 (nice to have)']"
1201932078770612,1,Email,text,Charlie Roshan,charlie-template@896974409.asanatest1.us,False,
1201932153569741,1,Phone Number,text,Charlie Roshan,charlie-template@896974409.asanatest1.us,False,
1201932034984051,4,Opportunity stage,enum,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,"['Prospecting', 'Qualification', 'Needs analysis', 'Value proposition', 'Proposal', 'Negotiation', 'Closed Won', 'Closed Lost']"
1201932033909188,1,Customer Department,enum,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,"['Leadership', 'IT/Ops', 'Marketing', 'Sales', 'Engineering', 'Product', 'HR', 'Legal']"
1201932153451905,1,Customer Role,enum,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,"['C-level', 'VP', 'Director', 'Manager', 'Individual Contributor']"
1201932076717978,1,Customer Email,text,Charlie Roshan,charlie-template@896974409.asanatest1.us,True,
1202294189396554,1,Responsible Role,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['CSM', 'AE', 'Customer']"
1201932035757533,1,Priority,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['High', 'Medium', 'Low']"
1201932079615986,1,Task Progress,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['Done', 'Waiting', 'In Progress']"
1201932079375473,1,Bug Reported by,enum,Carly Coats,carly-template@896974409.asanatest1.us,True,"['Customer', 'QA', 'Dev team', 'Internal users', 'Automated']"
1201932033012002,1,Component,enum,Carly Coats,carly-template@896974409.asanatest1.us,False,"['Copy', 'Design', 'iOS', 'Android', 'CSS', 'Javascript']"
1201932153881652,1,Score,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932035614781,1,NPS,number,Kevin Newman,kevin-template@896974409.asanatest1.us,False,
1201932076879887,1,Score,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932079994034,1,NPS,number,Kevin Newman,kevin-template@896974409.asanatest1.us,False,
1201932155024091,1,Annual Contract Value (ACV),number,Jamie Staples,jamie-template@896974409.asanatest1.us,True,
1201932033573068,1,Account name,text,,,True,
1201932034289444,1,Sentiment,enum,,,True,"['Positive', 'Neutral', 'Negative']"
1201932034340383,1,Feedback type,enum,,,True,"['Question', 'Comment', 'Feature request', 'Bug']"
1201932153548242,1,Actionable,enum,,,True,"['Yes', 'No']"
1201932078170051,1,Customer Training Status,enum,Luis Ramirez,luis-template@896974409.asanatest1.us,True,"['Customer Inquiry', 'Planning', 'Waiting For Content', 'Training Started', 'Training Completed']"
1201932155780920,16,Department/Team Responsible,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Product Marketing', 'Product Mgmt', 'Engineering', 'Design', 'Marketing', 'WebDev', 'Sales', 'Customer Support', 'IT', 'HR', 'Operations', 'Leadership', 'Legal', 'Finance']"
1201932079387188,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932034912768,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932033224635,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932154303526,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932033589169,1,Score,enum,Kevin Newman,kevin-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932076300761,1,Score,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['5', '4', '3', '2', '1']"
1201932032642330,1,Type,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['Information', 'Development', 'Logistics', 'Presentation']"
1201932035673471,1,Responsible,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['Sales Engineer', 'Account Owner']"
1201932032778463,1,Priority,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['High', 'Medium', 'Low']"
1201932034769995,1,Type,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['Information', 'Product', 'Development', 'Presentation', 'Retro', 'Logistics']"
1201932033993032,1,Responsible,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['Account Owner', 'Sales Engineer', 'Customer Success', 'Product', 'Team', 'Marketing']"
1201932156619657,1,Priority,enum,Sophie Chamberlain,sophie.c-template@896974409.asanatest1.us,False,"['High', 'Medium', 'Low']"
1201932156322491,1,Owner,enum,Luis Ramirez,luis-template@896974409.asanatest1.us,False,"['Primary trainer', 'Secondary trainer', 'Support Engineering', 'Customer', 'Creative']"
1201932156609702,1,Estimated hours,number,Luis Ramirez,luis-template@896974409.asanatest1.us,False,
1201932035233295,1,Owner,enum,Luis Ramirez,luis-template@896974409.asanatest1.us,False,"['Primary trainer', 'Secondary trainer', 'Support Engineering', 'Customer', 'Creative']"
1201932034445520,1,Priority,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Low', 'Medium', 'High']"
1201932155794769,1,Region,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['US', 'PT', 'HU', 'DE', 'JP', 'CL', 'GR', 'BE', 'CH', 'AR', 'GB', 'IE', 'CN', 'OM', 'MX', 'ES', 'IT', 'CA', 'UY', 'FR', 'WS', 'YT', 'NL', 'RU', 'SE', 'IL', 'TR', 'NO', 'SI', 'ZA', 'DK', 'FI', 'AU', 'GU', 'SG', 'IS', 'PL', 'NZ', 'LU', 'AT', 'BR', 'TH']"
1201932034275702,1,Latitude,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932035382685,1,Longitude,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932153059488,1,Team,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Copy', 'Graphic', 'UI/UX', 'Animation', 'Print', 'Video']"
1201932078899396,1,Type,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['New Content', 'Update', 'Presentation', 'Training']"
1201932076926975,1,Approval stage,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Changes Needed', 'Waiting for info', 'Ready for Review', 'Approved']"
1201932035039983,1,Estimated Hours,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932171202241,1,Points,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932155208594,1,Approved?,enum,Carly Coats,carly-template@896974409.asanatest1.us,False,"['Yes', 'No']"
1201932033452265,1,Agenda Item Type,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,['Reference']
1201932155532893,1,Email,text,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,
1201932079981331,1,Phone Number,text,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,
1201932033516981,2,Campaign channel,enum,Spurti,spurti@896974409.asanatest1.us,True,"['Social media', 'Promotional', 'Blogpost', 'Web', 'Campaign Email', 'Email', 'Sales Enablement', 'User edication', 'Press']"
1201932077407029,1,Status:,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Approved', 'In Progress', 'New', 'In Review']"
1201932156655188,1,Department,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Marketing', 'Events', 'Customer Success', 'IT']"
1201932078093021,1,Estimated Cost,number,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,
1201932153495024,1,Priority,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Low', 'Medium', 'High']"
1201932156162076,1,Agenda Item Type,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,['Reference']
1201932171220378,1,Agenda Item Type,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Overview', 'Objective', 'Lab', 'Review', 'Reference']"
1201932156278944,1,Use Case,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Agile processes', 'Marketing workflows', 'Employee onboarding', 'Requests', 'Meeting agendas', 'Milestones / objectives', 'Project management']"
1201932155170792,1,Budgeted Cost,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932032763725,1,Actual Current Cost,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932171086904,1,Agenda Item Type,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,['Reference']
1201932155479662,1,Region of Request,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['EMEA', 'NA', 'SA', 'Global (ALL)', 'APAC']"
1201932034388103,1,Priority,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Medium', 'High', 'Low']"
1201932078047067,1,Estimated hours,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932079965787,1,Intake Project Type,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Full Campaign', 'Brand Initiative', 'Blog Post', 'General Project (Systems, Ops etc.)']"
1201932034377764,1,Scope,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,True,"['Small', 'Medium', 'Large', 'Boulder']"
1201932075776526,1,Team Responsible,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Account Manager', 'PM', 'Client', 'Performance Analyst', 'Creative', 'Media Buyer', 'QA/Ops']"
1201932034002748,1,Estimated hours,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932035233202,1,Task Progress,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Not Started', 'In Progress']"
1201932032712864,1,Team/Department,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['Product Marketing', 'Product Mgmt', 'Engineering', 'Design', 'WebDev', 'Sales']"
1201932076720222,1,Priority Estimate,enum,Jamie Staples,jamie-template@896974409.asanatest1.us,False,"['P1', 'P2', 'P3']"
1201932076930293,1,Estimated hours,number,Jamie Staples,jamie-template@896974409.asanatest1.us,False,
1201932155450457,1,Status,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['In Progress', 'Approved', 'In Review', 'New']"
1201932035036751,1,Priority,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Medium', 'Low', 'High']"
1201932171019245,1,Estimated Cost,number,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,
1201932033770197,1,Office,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['SF', 'NYC', 'Chicago', 'Washington D.C.']"
1201932154010968,1,Guests,enum,Yvette Yeti,yevgeniya@896974409.asanatest1.us,False,"['Internal Only', '+1s']"
1201932155610175,1,Point of Contact,text,,,True,
1201932154584639,1,Time it Takes to Complete Tasks,enum,,,True,"['One-five minutes', 'Ten minutes', 'Thirty minutes', 'One hour', 'Over one hour']"
1201932032642333,1,Sphere of Responsibility,enum,Joyvin Haydon,,False,"['Governance & Accountability', 'Budget', 'Comms & PR', 'Day of Operation']"
1201932033232248,1,Budget,number,Joyvin Haydon,,False,
1201932078112613,1,Priority,enum,Joyvin Haydon,,False,"['High', 'Medium', 'Low']"
1201932156577578,1,Point of Contact,enum,Joyvin Haydon,,False,"['Christina', 'Tariq', 'Colin', 'Skyler', 'Nicole', 'Teagan', 'Carson', 'Iniko', 'Priya']"
1201932080031306,1,Time it Takes to Complete Tasks,enum,Joyvin Haydon,,False,"['One hour', 'Ten minutes', 'One-five minutes', 'Thirty minutes']"
1201932075718637,1,Convention Type,enum,Ollie Otter,ollie@896974409.asanatest1.us,False,"['Communication', 'Collaboration', 'Creation']"
1201932154279891,1,Client Onboarding categories,enum,Joyvin Haydon,,False,"['Stakeholder management', 'Discovery', 'Implementation', 'Ongoing Engagement', 'Check-ups']"
1201932079958239,1,ISBN,enum,Joyvin Haydon,,False,"['978-1503275188', '978-0140177398', '978-0143039433', '978-0811214049', '978-0143038092']"
1201932078965350,1,Book Author,enum,Joyvin Haydon,,False,"['Louisa May Alcott', 'John Steinbeck', 'Charles Dickens', 'Tennessee Williams', 'Amy Tan']"
1201932076556917,1,Loan Status,enum,Joyvin Haydon,,False,"['At McKinley', 'In Library', 'Loaned by a Student']"
1201932078279853,1,Loaned By,enum,Joyvin Haydon,,False,"['Virgil Ascott', 'Erin Thessalos']"
1201932076466666,1,Content channel,enum,Joyvin Haydon,,False,"['Print', 'Blog', 'Press release', 'Website', 'Email']"
1201932154235133,1,Content stage,enum,Joyvin Haydon,,False,"['In review', 'Ready to publish', 'Not drafted', 'In draft']"
